ID,User_ID,Batch_ID,Sample_ID,Measurement_Date-Time,Isc_(A),Voc_(V),Imp_(A),Vmp_(V),Pmp_(W),FF_(percent),Efficiency_(percent),Rsh_(ohm),Rs_(ohm),Jsc_(A/cm2),Voc_(V/cell),Jmp_(A/cm2),Vmp_(V/cell),Pmp_(W/cm2),Cell_Efficiency_(percent),Rsh_(ohm-cm2),Rs_(ohm-cm2),ILoad_(A),VLoad_(V),FFLoad_(percent),PLoad_(W),EffLoad_(percent),RsLoad_(ohm),JLoad_(A/cm2),VLoad_(V/cell),PLoad_(W/cm2),Cell_EffLoad_(percent),RsLoad_(ohm-cm2),Rs_Modulation_(ohm-cm2),Measured_Temperature_(C),Total_Test_Time_(s),pJmp_(A/cm2),pVmp_(V/cell),pPmp_(W/cm2),pFF_(percent),pEfficiency_(percent),n_at_1_sun,n_at_ 1/10_suns,Jo1_(A/cm2),Jo2_(A/cm2),Jo_(fA/cm2),Est_Bulk_Lifetime_(us),BRR_(Hz),Lifetime_at_Vmp_(us),Doping_(cm-3),Measured_Resistivity_(Ohm-cm),Lifetime_Fit_R2,Max_Intensity_(suns),Intensity_@_flash_cutoff_(suns),V_at_Isc_(V),dV/dt,V_Pad_0_(V),V_Pad_1_(V),V_Pad_2_(V),V_Pad_3_(V),V_Pad_4_(V),Pm/Pe,Resistivity_(ohm-cm),Sample_Type,Thickness_(cm),Cell_Area_(cm2),Total_Area_(cm2),Number_of_Cells_per_String,Number_of_Strings,Temperature_(C),Intensity_(suns),Analysis_Type,Nominal_Load_Voltage_(mV/cell),Rs_Modulation_Target_(ohm-cm2),Reference_Constant_(V/sun),Voltage_Temperature_Coefficient_(mV/C),Temperature_Offset_(C),Power_per_Sun_(W/m2),Conductivity_Modulation_(ohm-cm2/V),Auger_Coefficient,Auger_Method,Band_Gap_Narrowing,Fit_Method,Carrier_Density_Center_Point_(cm-3),Percent_Fit,Lower_Bound_(cm-3),Upper_Bound_(cm-3),Rsh_Lifetime_Correction,Rsh_Measurement_Method,SunsVoc_Rsh_Voltage_(V),Do_Dark_Break_Measurement,Temperature_Measurement_Method,Number_of_dRsh_Points,dRsh_Output_Vlimit_(V),Current_Transfer,Voltage_Transfer,Temperature_Transfer,Final_Bin,Bin_Index,Tester_ID,Do_Doping_Measurement,Doping_Sample_Time_(us),Doping_Measurement_Length_(us),Measurement_Type,Comments,Calibration,dBreak_(V),dBreak_(A),Dark_Break_Interpolated,Measurement_Date-Time_String,Software Version
1,"Dana","Bare Cells","Bare_NPT_1648","07/05/17 11:06:15",9.010932,,,,,,,,,0.037502,,,,,,,,9.010932,-0.010458,,-0.094237,-0.392195,0.001161,0.037502,-0.010458,-0.000392,-0.392195,0.278868,0.589422,24.870806,132.854599,,,,,,,,,,,,,,,,,1.188039,0.888072,-0.010458,2.021839,-0.010458,,,,,,3,"p-type",0.021,240.28,240.28,1,1,25,1,"Generalized",540,0.65525,0.260612,2.2,0,1000,,1.66e-30,"Sinton","OFF","Center Point",3000000000000000,30,2000000000000000,4000000000000000,"OFF","Dark Rsh (Cell only)",0.4,"True","RTD (Internal)",2,10,-0.05,1,0.01,"A",0,"16-131484","True",0,0,"Full IV","C:\SintonInstruments\Recipe\MultiFlash\default_Bare_NPT_1648Cal.mfi","True",0,,"False","07/05/17 11:06:15","MultiFlash v1.27"
2,"Dana","Bare Cells","Bare_NPT_1648","07/05/17 11:06:50",9.010789000000001,0.647889,8.505423,0.542292,4.612423,79.007053,19.196033,101.413607,0.002946,0.037501,0.647889,0.035398,0.542292,0.019196,19.196033,24367.66147,0.707865,8.505423,0.542292,79.007053,4.612423,19.196033,0.002946,0.035398,0.542292,0.019196,19.196033,0.707865,0.72825,24.857913,27.691584,0.035678,0.5634169999999999,0.020102,82.735057,20.101811,1.129645,1.095237,4.85181e-13,6.882616e-09,,,,96.643889,1.077624e+16,1.370142,,1.198442,0.885805,-0.001063,2.44734,0.542292,,,,,,3,"p-type",0.021,240.28,240.28,1,1,25,1,"Generalized",540,0.712833,0.260612,2.2,0,1000,1.460818,1.66e-30,"Sinton","OFF","Center Point",3000000000000000,30,2000000000000000,4000000000000000,"OFF","Dark Rsh (Cell only)",0.4,"True","RTD (Internal)",2,10,-0.05,1,0.01,"A",0,"16-131484","True",0,0,"Full IV","C:\SintonInstruments\Recipe\MultiFlash\default_Bare_NPT_1648Cal.mfi","False",-2,-0.016153,"True","07/05/17 11:06:50","MultiFlash v1.27"
3,"Dana","Bare Cells","B18_opened_20170705","07/05/17 11:11:49",8.897627,0.635668,8.391309,0.528043,4.430976,78.342045,18.440886,147.081939,0.002864,0.03703,0.635668,0.034923,0.528043,0.018441,18.440886,35340.848316,0.6882,8.391309,0.528043,78.342045,4.430976,18.440886,0.002864,0.034923,0.528043,0.018441,18.440886,0.6882,0.65351,24.850828,27.036546,0.035158,0.548758,0.019293,81.96402999999999,19.293463,1.242652,1.110449,8.001528e-13,1.222896e-08,,,,53.556645,1.523791e+16,0.992617,,1.18626,0.889725,-0.001469,2.142094,0.528043,,,,,,3,"p-type",0.021,240.28,240.28,1,1,25,1,"Generalized",540,0.7009,0.260612,2.2,0,1000,1.03835,1.66e-30,"Sinton","OFF","Center Point",3000000000000000,30,2000000000000000,4000000000000000,"OFF","Dark Rsh (Cell only)",0.4,"True","RTD (Internal)",2,10,-0.05,1,0.01,"A",0,"16-131484","True",0,0,"Full IV","C:\SintonInstruments\Recipe\MultiFlash\default_Bare_NPT_1648Cal.mfi","False",-2,-0.017887,"True","07/05/17 11:11:49","MultiFlash v1.27"
4,"Dana","Bare Cells","B17_opened_20170705","07/05/17 11:14:11",8.889256,0.638382,8.371853,0.532517,4.458153,78.56141,18.553993,175.303089,0.002668,0.036995,0.638382,0.034842,0.532517,0.018554,18.553993,42121.826135,0.640951,8.371853,0.532517,78.56141,4.458153,18.553993,0.002668,0.034842,0.532517,0.018554,18.553993,0.640951,0.630915,24.873553,26.777532,0.035061,0.551759,0.019345,81.91161700000001,19.345218,1.20106,1.139139,6.90855e-13,1.382017e-08,,,,58.374387,1.495836e+16,1.009738,,1.180115,0.8900709999999999,-0.001515,2.074391,0.532517,,,,,,3,"p-type",0.021,240.28,240.28,1,1,25,1,"Generalized",540,0.646918,0.260612,2.2,0,1000,1.158189,1.66e-30,"Sinton","OFF","Center Point",3000000000000000,30,2000000000000000,4000000000000000,"OFF","Dark Rsh (Cell only)",0.4,"True","RTD (Internal)",2,10,-0.05,1,0.01,"A",0,"16-131484","True",0,0,"Full IV","C:\SintonInstruments\Recipe\MultiFlash\default_Bare_NPT_1648Cal.mfi","False",-2,-0.011146,"False","07/05/17 11:14:11","MultiFlash v1.27"
5,"Dana","Bare Cells","B16_opened_20170705","07/05/17 11:15:13",8.880925,0.634188,8.374029999999999,0.526467,4.408647,78.27611,18.347955,199.361475,0.002862,0.036961,0.634188,0.034851,0.526467,0.018348,18.347955,47902.575171,0.687628,8.374029999999999,0.526467,78.27611,4.408647,18.347955,0.002862,0.034851,0.526467,0.018348,18.347955,0.687628,0.667196,24.875301,27.299561,0.035084,0.547172,0.019197,81.89788799999999,19.196901,1.238836,1.112681,8.437629e-13,1.333078e-08,,,,50.220904,1.458316e+16,1.033732,,1.190177,0.887253,-0.001629,2.240305,0.526467,,,,,,3,"p-type",0.021,240.28,240.28,1,1,25,1,"Generalized",540,0.6969030000000001,0.260612,2.2,0,1000,1.062577,1.66e-30,"Sinton","OFF","Center Point",3000000000000000,30,2000000000000000,4000000000000000,"OFF","Dark Rsh (Cell only)",0.4,"True","RTD (Internal)",2,10,-0.05,1,0.01,"A",0,"16-131484","True",0,0,"Full IV","C:\SintonInstruments\Recipe\MultiFlash\default_Bare_NPT_1648Cal.mfi","False",-2,-0.008999,"False","07/05/17 11:15:13","MultiFlash v1.27"
6,"Dana","Bare Cells","B15_opened_20170705","07/05/17 11:16:17",8.977556999999999,0.642721,8.452385,0.532432,4.500318,77.994202,18.729473,496.098671,0.002763,0.037363,0.642721,0.035177,0.532432,0.018729,18.729473,119202.588593,0.663913,8.452385,0.532432,77.994202,4.500318,18.729473,0.002763,0.035177,0.532432,0.018729,18.729473,0.663913,0.639516,24.875301,26.835535,0.035396,0.5527030000000001,0.019564,81.468281,19.563736,1.260563,1.169948,6.052439e-13,1.672144e-08,,,,59.736788,1.038494e+16,1.418506,,1.182566,0.886433,-0.001031,2.119021,0.532432,,,,,,3,"p-type",0.021,240.28,240.28,1,1,25,1,"Generalized",540,0.667537,0.260612,2.2,0,1000,1.029237,1.66e-30,"Sinton","OFF","Center Point",3000000000000000,30,2000000000000000,4000000000000000,"OFF","Dark Rsh (Cell only)",0.4,"True","RTD (Internal)",2,10,-0.05,1,0.01,"A",0,"16-131484","True",0,0,"Full IV","C:\SintonInstruments\Recipe\MultiFlash\default_Bare_NPT_1648Cal.mfi","False",-2,-0.003026,"False","07/05/17 11:16:17","MultiFlash v1.27"
7,"Dana","Bare Cells","B14_opened_20170705","07/05/17 11:17:29",8.980131,0.64371,8.433111,0.533476,4.498866,77.82696199999999,18.72343,499.340677,0.002803,0.037374,0.64371,0.035097,0.533476,0.018723,18.72343,119981.577929,0.673386,8.433111,0.533476,77.82696199999999,4.498866,18.72343,0.002803,0.035097,0.533476,0.018723,18.72343,0.673386,0.646876,24.834728,28.211614,0.035326,0.553871,0.019566,81.329459,19.566052,1.252984,1.201661,5.591603e-13,1.8601e-08,,,,60.39602,1.073479e+16,1.375101,,1.183564,0.889219,-0.001205,2.183288,0.533476,,,,,,3,"p-type",0.021,240.28,240.28,1,1,25,1,"Generalized",540,0.681829,0.260612,2.2,0,1000,1.210772,1.66e-30,"Sinton","OFF","Center Point",3000000000000000,30,2000000000000000,4000000000000000,"OFF","Dark Rsh (Cell only)",0.4,"True","RTD (Internal)",2,10,-0.05,1,0.01,"A",0,"16-131484","True",0,0,"Full IV","C:\SintonInstruments\Recipe\MultiFlash\default_Bare_NPT_1648Cal.mfi","False",-2,-0.002128,"False","07/05/17 11:17:29","MultiFlash v1.27"
8,"Dana","Bare Cells","B13_opened_20170705","07/05/17 11:18:28",8.931932,0.638352,8.418841,0.528142,4.446347,77.98264,18.504858,307.833444,0.002782,0.037173,0.638352,0.035038,0.528142,0.018505,18.504858,73966.21983,0.668533,8.418841,0.528142,77.98264,4.446347,18.504858,0.002782,0.035038,0.528142,0.018505,18.504858,0.668533,0.647096,24.863065,26.161496,0.035263,0.548392,0.019338,81.49288199999999,19.33782,1.293117,1.139884,7.551413e-13,1.487867e-08,,,,51.879603,1.031222e+16,1.427894,,1.181483,0.888872,-0.00151,2.134627,0.528142,,,,,,3,"p-type",0.021,240.28,240.28,1,1,25,1,"Generalized",540,0.673511,0.260612,2.2,0,1000,0.843487,1.66e-30,"Sinton","OFF","Center Point",3000000000000000,30,2000000000000000,4000000000000000,"OFF","Dark Rsh (Cell only)",0.4,"True","RTD (Internal)",2,10,-0.05,1,0.01,"A",0,"16-131484","True",0,0,"Full IV","C:\SintonInstruments\Recipe\MultiFlash\default_Bare_NPT_1648Cal.mfi","False",-2,-0.006478,"False","07/05/17 11:18:28","MultiFlash v1.27"
9,"Dana","Bare Cells","Bare_NPT_1648","07/06/17 10:36:38",9.009181,,,,,,,,,0.037495,,,,,,,,9.009181,-0.008853,,-0.079762,-0.331954,0.0009829999999999999,0.037495,-0.008853,-0.000332,-0.331954,0.236125,0.610076,24.837094,117.207704,,,,,,,,,,,,,,,,,1.19128,0.88742,-0.008853,2.088136,-0.008853,,,,,,3,"p-type",0.021,240.28,240.28,1,1,25,1,"Generalized",540,0.65525,0.260463,2.2,0,1000,,1.66e-30,"Sinton","OFF","Center Point",3000000000000000,30,2000000000000000,4000000000000000,"OFF","Dark Rsh (Cell only)",0.4,"True","RTD (Internal)",2,10,-0.05,1,0.01,"A",0,"16-131484","True",0,0,"Full IV","C:\SintonInstruments\Recipe\MultiFlash\default_Bare_NPT_1648Cal.mfi","True",0,,"False","07/06/17 10:36:38","MultiFlash v1.27"
10,"Dana","Bare Cells","Bare_NPT_1648","07/06/17 10:37:10",9.011051999999999,0.647878,8.506766000000001,0.542853,4.617927,79.10027599999999,19.21894,98.754853,0.00287,0.037502,0.647878,0.035404,0.542853,0.019219,19.21894,23728.816188,0.689592,8.506766000000001,0.542853,79.10027599999999,4.617927,19.21894,0.00287,0.035404,0.542853,0.019219,19.21894,0.689592,0.681875,24.859569,27.261559,0.035679,0.563379,0.020101,82.729328,20.100688,1.131232,1.096469,4.854212e-13,6.861073e-09,,,,96.52696,1.074868e+16,1.373434,,1.195499,0.888109,0.000453,2.30175,0.542853,,,,,,3,"p-type",0.021,240.28,240.28,1,1,25,1,"Generalized",540,0.699136,0.260463,2.2,0,1000,1.409929,1.66e-30,"Sinton","OFF","Center Point",3000000000000000,30,2000000000000000,4000000000000000,"OFF","Dark Rsh (Cell only)",0.4,"True","RTD (Internal)",2,10,-0.05,1,0.01,"A",0,"16-131484","True",0,0,"Full IV","C:\SintonInstruments\Recipe\MultiFlash\default_Bare_NPT_1648Cal.mfi","False",-2,-0.017367,"True","07/06/17 10:37:10","MultiFlash v1.27"
